Year,TUITIONFEE_OUT
1997,
1998,
1999,
2000,
2002,20733.0
2003,24467.0
2004,25840.0
2005,26750.0
2006,28644.0
2007,29910.0
2008,31899.0
2009,33721.0
2010,35362.0
2011,37142.0
2012,38602.0
2013,40086.0
2014,41686.0
2015,43440.0
2016,45530.0
2017,47653.0
