Year,YearDT,TUITIONFEE_OUT
2002,2002-01-01,26228.0
2003,2003-01-01,27414.0
2004,2004-01-01,28906.0
2005,2005-01-01,30402.0
2006,2006-01-01,31966.0
2007,2007-01-01,33792.0
2008,2008-01-01,35418.0
2009,2009-01-01,37050.0
2010,2010-01-01,38440.0
2011,2011-01-01,39864.0
2012,2012-01-01,41420.0
2013,2013-01-01,42994.0
2014,2014-01-01,44880.0
2015,2015-01-01,46664.0
2016,2016-01-01,48436.0
2017,2017-01-01,50240.0
