Year,TUITIONFEE_OUT
2002,26019.0
2003,27448.0
2004,29060.0
2005,30620.0
2006,32097.0
2007,33709.0
2008,34998.0
2009,36173.0
2010,37012.0
2011,38415.0
2012,39851.0
2013,39966.0
2014,42292.0
2015,43938.0
2016,45278.0
2017,47074.0
